,url,Nature of Business,Location,Main Categories,Brands,Contact Person,Office Address,Country/Region,Major Markets,Position,Year of Establishment,Total Employees,Annual Turnover
465,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ktc-Group-Ltd/1S00OVSUQ,"Exporter, Manufacturer, Wholesaler",Hong Kong,"Costume & Fashion Jewellery, Fine Jewellery",,Mr SIDHARTH AGARWAL,"809, Hung Hom Commercial Tower A 39 Ma Tau Wai Road, Hung Hom KOWLOON, HONG KONG",Hong Kong,"Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",,1987.0,6 - 10,"US$ 10,000,000 - 49,999,999 Diamond Jewellery Specialist Gemstone Jewellery Specialist Customise Jewellery Specialist View details Factory & Facility Research & Development Quality Control"
466,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Luster-Jewellery-Limited/1X07QWMQ,"Exporter, Manufacturer",Hong Kong,"Costume & Fashion Jewellery, Decoration & Crafts, Fine Jewellery, Jewellery & Watch, Jewellery Parts & Tools",,Mr Brian Yau,"Flat M-7, 5/F, Kaiser Estate (Phase 3), 11 Hok Yuen Street, Hung Hom, Kowloon, Hong Kong",Hong Kong,Worldwide ODM OEM,Sales Director,,,
467,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ornate-Designs-Ltd/1X06AYJN,"Exporter, Import Agent, Manufacturer, Service Company",Hong Kong,"Fine Jewellery, Jewellery & Watch",,Mr Jadejaa Laluu,"Unit-D1, 6/F, Summit Building, 30 Man Yue Street, Hunghom, KL, Hong Kong",Hong Kong,Worldwide ODM OEM,Director,,,
468,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Profit-Gem-Jewellery-Group-Ltd/1X0069WD,"Exporter, Manufacturer, Wholesaler",Hong Kong,"Fine Jewellery, Jewellery & Watch",,Ms Gigi Wong,"Room H, 5/F, Phase 2, Kaiser Estate, 51 Man Yue Street, Hunghom, Kowloon, Hong Kong",Hong Kong,"Chinese Mainland, Hong Kong, Middle East, North America, Southeast Asia, Western Europe, Worldwide",Operation Manager,1995.0,16 - 25 ODM OEM View details Factory & Facility,
469,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Seaco-Jewellery-Ltd/1X00NS0O,Manufacturer,Hong Kong,"Fine Jewellery, Jewellery & Watch",,Mr Jason Lee,"Unit B3, 8/F, Kaiser Estate, Phase 1, 41 Man Yue Street, Hung Hom, Kowloon, Hong Kong",Hong Kong,Worldwide,Director,2007.0,26 - 50 ODM OEM,
470,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Star-Creations-International-Limited/1X03XAWA,"Exporter, Manufacturer",Hong Kong,"Fine Jewellery, Jewellery & Watch",,Mr Rico Rauschmayer,"Room 3704-05, 37/F., Shun Tak Centre, 168-200 Connaught Road, Central, Hong Kong",Hong Kong,"Eastern Europe, Scandinavia, Western Europe ODM OEM",International Relations,2005.0,,
471,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sucre-Jewelry-Design-Ltd/1X08E7SN,"Exporter, Manufacturer",Hong Kong,"Costume & Fashion Jewellery, Fine Jewellery",,Mr Charles Wu,"RM 505, 5/F, rise comm. bldg, 5-11 granville circuit, granville rd",Hong Kong,Worldwide ODM OEM,,,,
472,https://sourcing.hktdc.com/en/Supplier-Store/Profile/United-Jewelry-Co/1X00AAIO,Wholesaler,Hong Kong,"Costume & Fashion Jewellery, Fine Jewellery",,Ms Cecilia Li,"Room F-I, 19/F, The Jade Plaza, 513 Canton Road, Kowloon, Hong Kong",Hong Kong,"Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Southeast Asia, Taiwan",Director,1975.0,26 - 50,"US$ 10,000,000 - 49,999,999 View details Factory & Facility"
473,https://sourcing.hktdc.com/en/Supplier-Store/Profile/H-V-Jewels-Co-Ltd/1X03ZS2M,"Exporter, Manufacturer, Wholesaler",Thailand,"Fine Jewellery, Jewellery & Watch",,Mr PINAL SAVANI,"301 SOI RACHADAPISEK 6 THAPRA TAKSIN ROAD , BUKKHALO THONBURI,BANGKOK THAILAND",Thailand,"Africa, Eastern Europe, Hong Kong, Japan, Middle East, North America, Other Asian Countries, Southeast Asia, Western Europe",Sales & Marketing Manager,2000.0,101 - 200,"US$ 10,000,000 - 49,999,999 View details Quality Control"
474,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Horovitz-Totah-SA/1X00DTUR,"Exporter, Manufacturer",Switzerland,Fine Jewellery,,Mr Ronny Totah,"9-11 Place De La Fusterie, Geneva 1204, Switzerland Switzerland.",Switzerland,Worldwide kashmir sapphires natural pearls antique jewelry signed jewelry Co-founder of GemGenève show Ex member of the board of the Swiss Gemological Laboratory (SSEF),,1990.0,,
475,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Morelle-Davidson-UK-Ltd/1X00BSEA,"Manufacturer, Others",United Kingdom,"Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch",,Mr Elli Abramov,"United Kingdom New Bond Street, London W1S 2SF, United Kingdom.",United Kingdom,Worldwide,Director,1984.0,,
476,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Paul-Fisher-Inc/1X00NR0R,"Exporter, Importer, Manufacturer, Wholesaler","New York, USA","Decoration & Crafts, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch, Watches & Clocks","Cartier, Harry Winston, Van Cleef and Arpels, Tiffany and Co., Hemmerle, Boucheron, Fabergé, Chaumet, Wallace Chan, Buccellati ODM OEM",Ms Marianne Fisher,"10 Rockefeller Plaza, Ste 709, New York, New York 11020 USA.",USA,"Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, North America, Other Asian Countries, Taiwan, Western Europe",Owner,1956.0,6 - 10,
477,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rcan-Jewellery-Co-Ltd/1X073A51,Manufacturer,Thailand,"Fine Jewellery, Jewellery & Watch",,Mr Amit Gandhi,"2210/30 Narathiwatratchanakarin Road, Chongnonsee, Yannawa, Bangkok 10120, Thailand",Thailand,Middle East,MD,2008.0,,
478,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Thomas-Faerber-SA/1X00CTBA,"Exporter, Manufacturer",Switzerland,"Fine Jewellery, Jewellery & Watch",,Mr Alberto Corticelli,"Switzerland Geneva, Switzerland.",Switzerland,"Eastern Europe, Western Europe",,1968.0,11 - 15,"US$ 250,000 - 499,999"
479,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Viva-Collection-Co-Ltd-/1X0532FF,Manufacturer,Thailand,"Fine Jewellery, Jewellery & Watch",,Mr Hitesh Patel,"41/13-14, Soi Silom 19, Silom Road, Silom, Bangrak, Bangkok 10500, Thailand",Thailand,"Eastern Europe, Hong Kong, Japan, Other Asian Countries",Managing Director,2008.0,101 - 200,"US$ 5,000,000 - 9,999,999 ODM OEM"
480,https://sourcing.hktdc.com/en/Supplier-Store/Profile/5C-Hong-Kong-Limited/1X057JHY,Manufacturer,Hong Kong,"Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch",,Mr Jasani Anuj,"Room 1007B 10/F Guardforce Centre, 3 Hok Yuen Street East, Hung hom, Kowloon, Hong Kong",Hong Kong,"North America, Western Europe",Director,,,
481,https://sourcing.hktdc.com/en/Supplier-Store/Profile/APJ-Company-Limited/1X07QW39,Manufacturer,Hong Kong,"Fine Jewellery, Jewellery & Watch ODM OEM",,Mr Alex Poon,"Room 303B, 3/F, Tower A, Hung Hom Commerical Centre 39 Ma Tau Wai Road, HungHom, Kowloon, Hong Kong",Hong Kong,,,,,
