Company Name,Location,Booth,url
Asia Precious Gems Co Ltd,Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XH47
"B.H.C. Diamonds (Thai) Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y72N
"Beautiful Color Stone Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XIF9
Bright Future Gems Co Ltd,Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XHU1
Chatree Gems Company Limited,Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XI0I
DSD Thai Gems Co Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJ8T
"Demidoff Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIMO
Emco Gem Inc.,USA,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YCSC
"Fancy Factory Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHRA
"Fine Gems Collection Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIQC
"Gems Distributors Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIKU
"Gems Paradise Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIAO
Gemstones Corporation Pvt Ltd,India,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YH8V
Germany - Federal Ministry of Economic Affairs and Energy,Germany,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005ZK2A
Glorious Gems Co Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGNN
Greenlab Diamonds Llp,India,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005VADN
"H.M.V. Gems Co., Ltd",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XH1G
HC Arnoldi e. K.,Germany,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YG62
"Harshil Gems Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XI9R
KGK Gems Limited,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XII0
"Khushali Enterprise Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJ2B
Kourosh Company Limited,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIBL
"Krish Creations Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJG5
Lim Gems Factory Co Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHLS
MKA's Rubylite,India,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YHAP
"Madagas Gem Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHQD
Manihar International Co Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHZM
"Milin Triple B Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIPF
"Multi World Gems Manufactory Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGLT
National Facets,India,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YFMR
Natural Colorstone Limited,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGOK
Noble Gems Company Limited,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHAP
P.K. Gems and Gold Co Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHWV
"Patel Gems (Thailand) Co, Ltd",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHXS
Paul Wild GmbH & Co. KG,Germany,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XUUO
"Peninsula Precious Trading Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHKV
"Pha-A-Tit Precious Co., Ltd",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGXT
Poonam Gems Co Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGJZ
"Pranom Gems Ltd., Part",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJ1E
Precious Colour (Thai) Company Limited,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIZL
Precious Pebbles Inc.,USA,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YEMS
Precious Stones Co Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIT3
"Saket Inter Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XH2D
Shwet Ratan Impex,India,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YL1C
"Silken East Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJCH
Star Shine Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGS8
"Std Gems Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGH5
"Vaibhav International Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJ7W
Venus Jewel,India,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UJR8
"Victorious Jewels Trading Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XH0J
World Corundum Company Limited,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIG6
"World Sapphire Trading Co., Ltd.",Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJMN
Yong Tai Gems Co Ltd,Thailand,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHFA
Arihant Gems (HK) Limited,Hong Kong,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y5UD
Aurostar (HK) Limited,Hong Kong,['Booth: AWE 8-H08   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y679
"D. D. Gems HK Co., Limited",Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YAU8
Decent Grown Diamond,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YBAV
Decorous Star (HK) Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y9FI
Dianco (HK) Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y9BU
Exhibition+,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005RKDD
Fai Po Gem & Jewellery Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YAQK
Fancy Diam Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YB67
GRS Lab (Hong Kong) Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005URJO
Gemasia (Hong Kong) Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YAEK
Gems Trading Co,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YA0Q
Gogreen Diamonds HK Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YDAT
Gubelin Hong Kong Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UJQB
Guild Gem Laboratories Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005VHFA
H. D. Diam (HK) Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UU6O
Jinee Jewels Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YFWX
Mohra HK,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YE3D
R. A. Gems (Hong Kong) Company Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UTSV
Rainbow Gems (HK) Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UTKJ
Sunlight Gems,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YHS7
Surbhi Diam Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YIH3
Uniblue (HK) Limited,Hong Kong,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YJAN
4gs Trading Corp,USA,['Booth: AWE 9-F10   |   Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y6M0
