"exhibitorName","exhibitorName href","boothLabel","boothLabel href","cf src"
"Anhui Bonhao semiconductor Technology Co., Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=36&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=637435","2624","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=637435&MapItBooth=2624","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anhui Botai Electronic Materials Co., Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=37&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=639931","6172","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=639931&MapItBooth=6172","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anhui Haitong Semiconductor Technology Co., LTD","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=38&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=636743","1627","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=636743&MapItBooth=1627","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"ANHUI HUACHU GLORY LIGHT CO.,LTD","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=39&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=656516","T1431","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=656516&MapItBooth=T1431","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anhui Jinyike Intelligent Equipment Co. , Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=40&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=640919","T0243","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=640919&MapItBooth=T0243","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anhui Luxet Infrared Technology Co.,Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=41&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=649972","1720","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=649972&MapItBooth=1720","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"ANHUI ONE WEKLINPRECISION EQUIPMENT CO.,LTD","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=42&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=641126","T1307","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=641126&MapItBooth=T1307","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anhui SiLogic Semiconductor Technology Co., Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=43&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=668272","T3321","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=668272&MapItBooth=T3321","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anhui Utest Electronics co.,Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=44&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=640852","7715","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=640852&MapItBooth=7715","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anhui Zhonghe Semiconductor Technology Co., Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=45&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=640115","6239","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=640115&MapItBooth=6239","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anhui Zhongke Xinyuan Semiconductor Co., Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=46&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=640782","7643","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=640782&MapItBooth=7643","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Anji Microelectronics(Shanghai)Co.,Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=47&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=639170","5281","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=639170&MapItBooth=5281","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"APK（Shanghai）Gas Co.,Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=48&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=649428","T4211","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=649428&MapItBooth=T4211","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"ARERBERTE (SUZHOU)TECHNOLOGY CO.,LTD","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=49&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=637389","2523","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=637389&MapItBooth=2523","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Arkema (China) Investment Co., Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=50&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=662389","6377","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=662389&MapItBooth=6377","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
