ref,department,url,batch_time,description,award_date,awardee,sum
1229EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_213.html,2026-03-08 16:28:30.070572,"Biennial Term Contract for the Supply and Installation of Public Address Systems, Auxiliary Equipment & Emergency Call-out System for the Government of the HKSAR / Audio Electronics Installation",Jun 2015,"Shun Tung Electric Company, Limited","HK$26,716,168.00"
2434EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_219.html,2026-03-08 16:28:30.070572,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Unattended Municipal Venues in New Territories of the Government of the Hong Kong Special Administrative Region / Electrical Installation",May 2015,Interlite (Asia) Limited,"HK$143,418,000.00"
2266EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_224.html,2026-03-08 16:28:30.070572,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations and Other Facilities for Unattended Municipal Venues in Kowloon / Air-conditioning Installation,May 2015,Alliance Contracting Company Limited,"HK$61,921,820.00"
2087EM14W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_227.html,2026-03-08 16:28:30.070572,Bulk Replacement of Air-cooled Chillers in Hospital Authority Venues (Batch 1) / Air-conditioning Installation,May 2015,Dah Chong Hong (Engineering) Limited,"HK$27,687,000.00"
1939EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_218.html,2026-03-08 16:28:30.070572,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations and Other Facilities for Attended Municipal Venues in Kowloon / Air-conditioning Installation,May 2015,Westco Airconditioning Limited,"HK$88,343,990.56"
1914EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_216.html,2026-03-08 16:28:30.070572,Triennial Contract for Operation and Maintenance of Air-conditioning Installations at Attended Municipal Venues in Hong Kong Region / Air-conditioning Installation,May 2015,Young's Engineering Company Limited,"HK$67,444,866.65"
1913EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_215.html,2026-03-08 16:28:30.070572,Triennial Contract for Operation and Maintenance of Air-conditioning Installations at Unattended Municipal Venues in Hong Kong Region / Air-conditioning Installation,May 2015,"Wenden Engineering Service Company, Limited","HK$82,468,668.00"
1185EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_223.html,2026-03-08 16:28:30.070572,Triennial Term Contract for Maintenance of Electrical Installations and Domestic Appliances at Various Staff Quarters of the Government of the Hong Kong Special Administrative Region (NEC TSC OPTION A) / Electrical Installation,May 2015,Au Chow Electrical Company Limited,"HK$18,343,372.00"
1035EM13W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_190.html,2026-03-08 16:28:30.070572,Replacement of the Toll Collection Systems at Lantau Toll Plaza and Ma Wan Toll Plaza in the Tsing Ma Control Area / Replacement of the toll collection systems (TCSs) for the manual toll lanes at the Lantau Toll Plaza and the Ma Wan Toll Plaza in the Tsing Ma Control Area (TMCA) and the provision of the toll collection facilities at the airport-bound carriageways of the Lantau Toll Plaza,May 2015,Autotoll Limited,"HK$26,388,000.00"
1653EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_211.html,2026-03-08 16:28:30.070572,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Attended Municipal Venues in New Territories of the Government of the Hong Kong Special Administrative Region / Electrical Installation",Apr 2015,Interlite (Asia) Limited,"HK$98,788,800.00"
