Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
1121EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of GE15),Apr 2016,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,Otis Elevator Company (H.K.) Limited,"HK$76,578,746.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_268.html,,,,
1201EM15T,Biennial Term Contract for Engineering Services for E&M Installation and Other Services at Diamond Hill and Cape Collinson Crematorium and Columbarium,Apr 2016,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"HK$23,084,330.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_272.html,,,,
1151EM15T,"Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Hong Kong Police Force, Correctional Services Department, Hong Kong Independent Commission Against Corruption, Security Bureau, Highways Department and Transport Department in Kowloon for the Government of HKSAR.",Apr 2016,Air-conditioning Installation,Selective,"Wenden Engineering Service Company, Limited","HK$26,628,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_265.html,,,,
1248EM15T,"Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Arsenal House, Police Headquarters, Wan Chai(English)",Mar 2016,"Comprehensive maintenance and repair of lift installations at Arsenal House, Police Headquarters, Wan Chai",Open,"Fujitec (HK) Company, Limited","HK$9,536,764.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_258.html,,,,
1203EM15T,"Biennial Term Contract for Engineering Services for E&M Installation and Other Services at Wo Hop Shek, Kwai Chung and Fu Shan Crematorium and Columbarium",Mar 2016,Mechanical Plant and Equipment Installation,Selective,"Tai Ah Engineering Company, Limited","HK$29,369,820.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_273.html,,,,
1347EM15T,Quadrennial Term Contract for Maintenance of CCTV System in New Territories for the Government of HKSAR.,Feb 2016,Video Electronics Installation,Selective,Tung Po (H.K.) Technology Enterprise Limited,"HK$3,870,940.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_257.html,,,,
1118EM15T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations in TSCSD Venues (Closed Area) for the Government of HKSAR",Feb 2016,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"HK$35,388,860.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_241.html,,,,
1316EM15T,Triennial Term Contract for Maintenance of Uninterruptible Power Supply (UPS) Systems at Various Government Venues (Phase 1),Feb 2016,Uninterruptible Power Supply Installation,Selective,Full Link Technology Company Limited,"HK$8,661,503.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_252.html,,,,
1598EM15T,30-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of SC15),Feb 2016,The comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,ThyssenKrupp Elevator (HK) Limited,"HK$18,762,710.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_251.html,,,,
1557EM15T,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of TO15),Jan 2016,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,Chevalier (HK) Limited,"HK$32,249,174.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_255.html,,,,
