Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
2799EM18T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works to Various Disciplined Services Venues",Sep 2019,Air-conditioning Installation,Selective,Alliance Contracting Company Limited,"HK$45,692,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1656.html,,,,
1738EM19W,"Replacement and Upgrading of Supervisory Control and Data Acquisition and Programmable Logic Controller Systems in the Sewage Treatment Works of Siu Ho Wan, Ngong Ping and Ma Wan for Drainage Services Department",Sep 2019,"includes design, supply, transportation, installation, testing, commissioning, and subsequent defects liability period for the complete replacement and upgrading of the Supervisory Control and Data Acquisition (SCADA) and Programmable Logic Controller (PLC) Systems in the Sewage Treatment Works of Siu Ho Wan, Ngong Ping and Ma Wan for Drainage Services Department",Open,Chevalier (Envirotech) Limited,"HK$12,275,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1700.html,,,,
1507EM18W,Replacement of Chiller Plants and Associated Works at Leisure and Cultural Services Headquarters and Shatin Town Hall,Sep 2019,Air-conditioning Installation,Selective,Wenden Engineering Service Company Limited,"HK$21,698,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1702.html,,,,
2351EM18T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Customs and Excise Department and Immigration Department in Hong Kong Island and Outlying Islands",Sep 2019,Air-conditioning Installation,Selective,REC Engineering Company Limited,"HK$22,600,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1637.html,,,,
1094EM19T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (SA19),Sep 2019,"Lift, Escalator and Passenger Conveyor Installation",Selective,Shan On Engineering Company Limited,"HK$6,741,320.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1658.html,,,,
3027EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of GE15),Sep 2019,includes comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Otis Elevator Company (H.K.) Limited,"HK$57,157,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1647.html,,,,
1086EM19T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installation at Various General Engineering Venues in Kowloon Region and New Territories Region of the Government of the Hong Kong Special Administrative Region,Sep 2019,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$10,537,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1672.html,,,,
1085EM19T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installation at Various General Engineering Venues in Hong Kong Region of the Government of the Hong Kong Special Administrative Region,Sep 2019,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$10,669,650.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1671.html,,,,
1009EM19T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installation at Various Judiciary and Justice Venues for the Government of the Hong Kong Special Administrative Region,Sep 2019,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$10,714,224.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1669.html,,,,
2328EM18W,Replacement of Chiller units for Tuen Mun Cultural Complex in the New Territories,Sep 2019,Air-conditioning Installation,Selective,A & R Engineering Company Limited,"HK$10,850,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1678.html,,,,
1267EM19T,"Annual Term Contract for Building Services Fitting-Out, Replacement and Improvement Works to Various Venues of the Government of the Hong Kong Special Administrative Region Maintained by General Engineering Services Division &l",Sep 2019,Air-conditioning Installation,Selective,Alliance Contracting Company Limited,"HK$26,509,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1673.html,,,,
1311EM18W,Improvement Works of Piazza and Outdoor Areas of EMSD Headquarters,Sep 2019,Building Category,Selective,Square Construction Company Limited,"HK$29,547,132.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1668.html,,,,
1981EM18W,Provision of Traffic Control and Surveillance System for Widening of Tolo Highway/Fanling Highway between Tai Hang and Wo Hop Shek Interchange,Aug 2019,includes provision of Traffic Control and Surveillance System for Widening of Tolo Highway/Fanling Highway between Tai Hang and Wo Hop Shek Interchange and integration with the existing Tolo TCSS System,Open,Win Promise Limited,"HK$20,888,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1660.html,,,,
EMSD/GR/1/2019,Operation of Light Refreshment Business at the EMSD Headquarters Building,Aug 2019,Light Refreshment Business,Open,Association of HKEE’s Social Service Limited,"HK$7,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1684.html,,,,
1541EM19T,"Triennial Term Contract for the Maintenance, Repair, Alterations and Additions of Electrical and Mechanical Installations at Hong Kong Wetland Park",Aug 2019,Air-conditioning Installation,Selective,REC Engineering Company Limited,"HK$22,878,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1670.html,,,,
2160EM18T,"Triennial Term Contract for Repairs, Operation and Maintenance to Boilers, Hot Water Installations, Steam Related Equipment and Accessories in Various Health Care Institutions in Hong Kong of the Government of the Hong Kong Special Administrative Region",Aug 2019,Liquefied Petroleum Gas Installation,Selective,Yau Sang Engineering Company,"HK$35,292,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1653.html,,,,
1953EM18W,Replacement of Fire Services System at Cheung Tsing Tunnel,Aug 2019,Fire Service Installation,Selective,Kenworth Engineering Limited,"HK$18,017,400.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1630.html,,,,
3062EM18W,Replacement of High Voltage and Low Voltage Power Supply System at Tseung Kwan O Tunnel,Jul 2019,Industrial Type Electrical Installation,Selective,Mak Hang Kei (Hong Kong) Construction Limited,"HK$32,289,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1633.html,,,,
2338EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (OT19),Jul 2019,"Lift, Escalator and Passenger Conveyor Installation",Selective,Otis Elevator Company (H.K.) Limited,"HK$54,163,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1619.html,,,,
1130EM19W,Replacement of Chillers and Associated Equipment at Government Venues in Yuen Long,Jul 2019,Air-conditioning Installation,Selective,Krueger Engineering (Asia) Limited,"HK$17,500,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1648.html,,,,
2880EM18T,Quadrennial Term Contract for Maintenance of Fire Service Installations for Drainage Services Department,Jul 2019,Fire Service Installation,Selective,Kenworth Engineering Limited,"HK$41,158,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1662.html,,,,
1466EM18T,Triennial Term Contract for Maintenance of Mechanical Installations for Hong Kong Crossing Facilities (HKBCF) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge,Jun 2019,Mechanical Plant and Equipment Installation,Selective,ATAL Engineering Limited,"HK$77,380,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1625.html,,,,
1645EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (SG18),Jun 2019,"Lift, Escalator and Passenger Conveyor Installation",Selective,SIGMA Elevator (HK) Limited,"HK$3,410,316.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1622.html,,,,
1478EM18T,Triennial Term Contract for Maintenance of Fire Services Installations for Hong Kong Crossing Facilities (HKBCF) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge,Jun 2019,Fire Service Installation,Selective,ATAL Engineering Limited,"HK$32,615,396.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1612.html,,,,
3254EM17T,12-month Term Contract for Maintenance of Electrical Installations and Domestic Appliances at Various Staff Quarters of the Government of the Hong Kong Special Administrative Region,Jun 2019,Electrical Installation,Selective,REC Engineering Company Limited,"HK$7,622,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1627.html,,,,
1483EM18T,Triennial Term Contract for Maintenance of Security and Electronic Systems at Hong Kong Boundary Crossing Facilities at Hong Kong Zhuhai Macao Bridge and other Airport Engineering Services Venues,Jun 2019,Video Electronics Installation,Selective,EC Infotech Limited,"HK$22,306,100.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1616.html,,,,
2580EM18T,Triennial Term Contract for Maintenance of General Electronic Systems and Equipment for Government Facilities in West Kowloon Station,Jun 2019,Burglar Alarm and Security Installation,Selective,EC Infotech Limited,"HK$6,769,100.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1626.html,,,,
1150EM19W,Replacement of Chillers and Associated Equipment at Tai Po and Tai Hing Government Offices,Jun 2019,Air-conditioning Installation,Selective,ATAL Engineering Limited,"HK$9,630,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1652.html,,,,
2547EM17T,"Quadrennial Term Contract for Maintenance of Electric Lock Security System, Closed-circuit Television System and Public Address System at Lo Wu Correctional Institution",Jun 2019,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$14,105,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1610.html,,,,
1198EM15W,Provision of Electric Locks Security System and high security locks in Tai Lam Centre for Women for Correctional Services Department,Jun 2019,"includes the design, supply, installation, interfacing, testing and commissioning and maintenance of integrated security system, high security locks, building services and associated builder works for Tai Lam Centre for Women",Open,Kin Ming Construction Company Limited,"HK$29,090,264.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1598.html,,,,
EMU/T/2019/01,Provision of Security Guard Services for the Electrical and Mechanical Services Department Headquarters,Jun 2019,Security Guard Services,Open,Nice Property Management Limited,"HK$14,549,280.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1667.html,,,,
1199EM17T,Five-year Term Contract for Provision of Maintenance and Modification Works of Traffic Control and Surveillance System of Tolo-Highway,May 2019,"includes provision of maintenance, modification and installation works for Traffic Control and Surveillance System (TCSS) of Tolo-highway",Open,GTECH Services (Hong Kong) Limited,"HK$48,380,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1592.html,,,,
2832EM17T,"Triennial Term Contract for Maintenance of Air-side of Heating, Ventilation and Air-conditioning Installation for Passenger Clearance Building (PCB) of Hong Kong Boundary Crossing Facilities (HKBCF) at Hong Kong Zhuhai Macao Bridge and Heating, Ventilation and Air-conditioning Installation for Auxiliary Buildings of HKBCF, Hong Kong Link Road and Other Airport Engineering Services Venues",May 2019,Air-conditioning Installation,Selective,Meco Engineering Limited,"HK$93,942,880.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1613.html,,,,
1580EM17W,Replacement of CCTV System for Tung Tau Correctional Institution of Correctional Services Department,May 2019,Video Electronics Installation,Selective,ATAL Building Services Engineering Limited,"HK$11,928,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1585.html,,,,
2163EM18T,Triennial Term Contract for Maintenance of SCADA System of Hong Kong Boundary Crossing Facilities (HKBCF) at Hong Kong Zhuhai Macao Bridge,Apr 2019,Burglar Alarm and Security Installation,Selective,EC Infotech Limited,"HK$17,911,700.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1611.html,,,,
2990EM18T,"Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Arsenal House, Police Headquarters, Wan Chai",Apr 2019,"includes comprehensive maintenance and repair of Lift installations at Arsenal House, Police Headquarters, Wan Chai.",Open,thyssenkrupp Elevator (HK) Limited,"HK$29,295,560.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1623.html,,,,
1310EM18T,Biennial Term Contract for the Maintenance and Improvement of Electrical and Mechanical Installations for Hospitals and Clinics in New Territories East Region,Apr 2019,Electrical Installation,Selective,Interlite (Asia) Limited,"HK$40,574,850.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1586.html,,,,
2667EM18T,"Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of
the Hong Kong Special Administrative Region (Package One of TO18E)",Apr 2019,includes comprehensive maintenance and repair of Escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Chevalier (HK) Limited,"HK$2,936,400.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1605.html,,,,
1420EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of OT18),Apr 2019,includes comprehensive maintenance and repair of Lift installations in various premises of the Government of the HKSAR,Open,SIGMA Elevator (HK) Limited,"HK$31,084,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1574.html,,,,
1960EM18T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Hospital Authority Building and Kowloon Hospital and Nearby Health Services Venues",Apr 2019,Air-conditioning Installation,Selective,Wenden Engineering Service Company Limited,"HK$74,449,621.30",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1587.html,,,,
1491EM18T,Triennial Term Contract for Maintenance of Electrical Installations and UPS Systems for Hong Kong Boundary Crossing Facilities (HKBCF) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge,Mar 2019,Electrical Installation,Selective,Newton Engineering Company Limited,"HK$43,199,700.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1601.html,,,,
1489EM18T,Quadrennial Term Contract for Maintenance of Main Power Supply and Distribution Equipment for Hong Kong Boundary Crossing Facilities (HKBCF) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge,Mar 2019,Industrial Type Electrical Installation,Selective,ATAL Engineering Limited,"HK$24,675,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1602.html,,,,
1292EM18T,"Quadrennial Term Contract for Maintenance of Water-side System of Heating, Ventilation and Air-conditioning Installations for Hong Kong Boundary Crossing Facilities (HKBCF) at Hong Kong Zhuhai Macao Bridge",Mar 2019,Air-conditioning Installation,Selective,ATAL Engineering Limited,"HK$66,750,240.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1594.html,,,,
1957EM18T,"Triennial Term Contract for Operation and Maintenance of Air-conditioning, Electrical, Mechanical and Building Services in Yan Chai Hospital",Mar 2019,Air-conditioning Installation,Selective,Wenden Engineering Service Company Limited,"HK$43,790,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1603.html,,,,
2350EM18T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Fire Services Department in the Hong Kong Special Administrative Region

 ",Mar 2019,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"HK$32,171,928.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1593.html,,,,
1423EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of SC18),Mar 2019,includes comprehensive maintenance and repair of lift installations in various premises of the Government of the Hong Kong Special Administrative Region,Open,Holake Hong Kong Lifts Limited,"HK$23,836,700.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1544.html,,,,
1819EM18T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Queen Elizabeth Hospital and Nearby Health Services Venues",Mar 2019,Air Conditioning Installation,Selective,Alliance Contracting Company Limited,"HK$67,814,444.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1575.html,,,,
2307EM17T,"Triennial Term Contract for Repairs, Operation and Maintenance to Boilers, Hot Water Installations, Steam Related Equipment and Accessories in Various Health Care Institutions in Kowloon",Feb 2019,Steam and Compressed Air Installation,Selective,Kwong Hing Loong Engine & Boiler Factory Limited,"HK$39,853,960.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1582.html,,,,
1004EM18T,Triennial Term Contract for Maintenance of Speed Enforcement Camera System (Phase II) for Hong Kong Police Force,Feb 2019,includes comprehensive maintenance and repair of Speed Enforcement Camera System (Phase II) for Hong Kong Police Force. The contract is scheduled to commence in March 2019 for expiration in February 2022.,Open,QTC Traffic Technology Limited,"HK$19,932,510.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1589.html,,,,
2722EM18W,Conversion of Air Cooled Chillers to Water Cooled Chillers at Water Supplies Department Kowloon East Regional Building,Feb 2019,Air-conditioning Installation,Selective,Dah Chong Hong (Engineering) Limited,"HK$12,010,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1606.html,,,,
2852EM17A,District Cooling System (DCS) at Kai Tak Development (KTD) Phase III (Package D) – Water Pipe Laying Works,Feb 2019,Roads and Drainage,Selective,Victory Trenchless Engineering Company Limited - U-Tech Engineering Company Limited Joint Venture,"HK$138,895,454.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1496.html,,,,
2849EM17A,District Cooling System (DCS) at Kai Tak Development (KTD) Phase III (Package D) – Water Pipe Laying Works in North Apron,Feb 2019,Roads and Drainage,Selective,Wui Yip Civil Engineering Limited,"HK$82,601,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1497.html,,,,
2580EM17T,"Triennial Term Contract for Maintenance and Repair of Electrical and Floodlight Installations for Hong Kong Police Force, Correctional Services Department, Highways Department, Transport Department, Hong Kong Independent Commision Against Corruption and Security Bureau in the Hong Kong Special Administrative Region",Feb 2019,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"HK$38,752,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1556.html,,,,
1010EM18T,Triennial Term Contract for Maintenance of Digital Red Light Camera System (Phase III) for Hong Kong Police Force,Feb 2019,includes comprehensive maintenance and repair of Digital Red Light Camera System (Phase III) for Hong Kong Police Force,Open,Win Promise Limited,"HK$18,588,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1590.html,,,,
2373EM17W,Provision of Closed Circuit Television System at Liantang / Heung Yuen Wai Boundary Control Point,Feb 2019,Video Electronics Installation,Selective,Chubb Hong Kong Limited,"HK$16,782,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1604.html,,,,
1382EM18W,Improvement Works for Air-Conditioning Systems at Immigration Service Institute of Training and Development (ISITD) and Castle Peak Bay Immigration Centre (CIC),Feb 2019,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"HK$12,208,900.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1584.html,,,,
1814EM18W,High Efficiency Chiller and Associated Retrofitting Works in Lam Tin Polyclinic and Yung Fung Shee Memorial Centre,Jan 2019,Air-conditioning Installation,Selective,Wenden Engineering Service Company Limited,"HK$14,698,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1583.html,,,,
1158EM18W,Retrofitting of Seawater-cooled Chillers in Tuen Mun Hospital,Jan 2019,Air-conditioning Installation,Selective,Shun Hing E & M Engineering Limited,"HK$64,960,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1568.html,,,,
2853EM17W,District Cooling System (DCS) at Kai Tak Development (KTD) Phase III (Package D) – Electrical and Mechanical Installation,Jan 2019,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"HK$521,600,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1494.html,,,,
2419EM17T,"Biennial Term Contract for Maintenance and Improvement of Heating, Ventilation and Air-conditioning Installations for Hospitals and Clinics in New Territories East Region",Jan 2019,Air-conditioning Installation,Selective,Alliance Contracting Company Limited,"HK$56,444,444.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1566.html,,,,
1035EM18T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Hong Kong West Region",Jan 2019,Air-conditioning Installation,Selective,Yordland Engineering Limited,"HK$72,318,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1570.html,,,,
1481EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of SG18),Jan 2019,comprehensive maintenance and repair of lift installations in various premises of the Government of the Hong Kong Special Administrative Region,Open,SIGMA Elevator (HK) Limited,"HK$18,036,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1555.html,,,,
2563EM17T,"36-month Term Contract for Maintenance of Air-conditioning and Electrical Installations at Ruttonjee Hospital, Tung Wah Eastern Hospital and Cheshire Home Chung Hom Kok",Dec 2018,Air-conditioning Installation,Selective,Westco Airconditioning Limited,"HK$39,888,500.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1561.html,,,,
2047EM18T,"Triennial Term Contract for Electrical Works in Change of Tenancy in Government Quarters in the Hong Kong Island, Kowloon & New Territories",Dec 2018,Electrical Installation,Selective,Iu Cheong Electric Company Limited,"HK$31,503,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1580.html,,,,
2115EM18W,Replacement of 2 Sets of Water Cooled Chiller at Queensway Government Offices,Dec 2018,Air-conditioning Installation,Selective,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited","HK$7,486,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1588.html,,,,
1003EM18T,Quadrennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (MT18),Dec 2018,"Lift, Escalator and Passenger Conveyor Installation",Selective,Mitsubishi Elevator Hong Kong Company Limited,"HK$13,334,240.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1522.html,,,,
1541EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of FT18),Dec 2018,includes comprehensive maintenance and repair of Lift installations in various premises of the Government of the HKSAR.,Open,Fujitec (HK) Company Limited,"HK$22,373,728.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1573.html,,,,
1194EM18T,Quadrennial Term Contract for Comprehensive Maintenance of Pumping Installations at Correctional Services Department and Other Disciplined Services Venues,Dec 2018,Mechanical Plant and Equipment Installation,Selective,Japco Auto Equipment & Engineering Company Limited,"HK$18,990,830.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1564.html,,,,
1551EM16W,"Design, Supply, Installation, Testing, Commissioning and Technical Support of Ground Receiving Station and Related Facilities in Hong Kong for the Cospas-Sarsat Medium Earth Orbit Search and Rescue Satellite System",Nov 2018,"includes design, supply, installation, testing, commissioning and technical support of Ground Receiving Station and Related Facilities in Hong Kong for the Cospas-Sarsat “Medium Earth Orbit Search and Rescue Satellite System” (MEOSAR)",Open,"EMS Technologies Canada, Ltd. and C.A. Sheimer (H.K.) Limited Joint Venture","HK$35,850,575.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1539.html,,,,
1322EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TK18),Nov 2018,includes comprehensive maintenance and repair of lift installations in various premises of the Government of the Hong Kong Special Administrative Region,Open,thyssenkrupp Elevator (HK) Limited,"HK$10,458,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1540.html,,,,
1077EM16T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (CN17),Nov 2018,includes comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Kone Elevator (HK) Limited,"HK$5,590,400.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1476.html,,,,
1200EM17T,"Quadrennial Term Contract for Maintenance, Modification and Installation Works for Kowloon, Tsuen Wan, Shatin and Tseung Kwan O Area Traffic Control System",Nov 2018,"includes maintenance, modification and installation works for the Area Traffic Control (ATC) System of Kowloon, Tsuen Wan, Shatin and Tseung Kwan O as well as provision of first line maintenance for traffic signals & accessories equipment",Open,Shun Hing Systems Integration Company Limited,"HK$19,598,782.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1517.html,,,,
2871EM16T,"33-month Term Contract for the Maintenance and Repair of, Alterations and Additions to Fire Services Installations for Health Services Buildings in Kowloon Region",Nov 2018,Fire Service Installation,Selective,Shun Cheong Electrical Engineering Company Limited,"HK$21,046,900.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1467.html,,,,
1247EM18T,"Biennial Term Contract for Repairs, Operation and Maintenance to Boilers, Hot Water Installations, Steam Related Equipment and Accessories in Various Health Care Institutions in the New Territories and Municipal Buildings of the Government of the Hong Kong Special Administrative Region",Nov 2018,Steam and Compressed Air Installation,Selective,Kwong Hing Loong Engine & Boiler Factory Limited,"HK$29,940,760.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1545.html,,,,
2804EM17W,Replacement of CCTV System at Hong Kong Central Library,Oct 2018,Video Electronics Installation,Selective,Chubb Hong Kong Limited,"HK$4,599,700.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1562.html,,,,
