ref,department,url,batch_time,description,award_date,awardee,sum
1/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=56,2026-03-08 21:38:19.710571,In-situ Reprovisioning of Sha Tin Water Treatment Works (South Works) – Water Treatment Works and Ancillary Facilities,2020-07-31,ATAL - CW - MH JV (formed by (i) ATAL Engineering Limited; (ii) Chun Wo Construction and Engineering Company Limited; and (iii) Ming Hing Civil Contractors Limited),4515.6
10/WSD/18,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=57,2026-03-08 21:38:19.710571,Replacement of High Voltage Equipment at Sheung Wan Salt Water Pumping Station,2018-09-27,Kum Shing Engineering Company Limited,5.9173
5/WSD/18,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=58,2026-03-08 21:38:19.710571,Water Supply to New Housing Developments in Sheung Shui and Fanling - Mainlaying in Sheung Shui and Fanling Areas,2019-06-19,China International Water & Electric Corporation,458.5
3/WSD/18,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=59,2026-03-08 21:38:19.710571,Water Supply to New Housing Developments in Sheung Shui and Fanling – Construction of Tong Hang No.3 Fresh Water Service Reservoir and Associated Mainlaying,2018-09-18,U-Tech Engineering Company Limited,348.5
13/WSD/17,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=60,2026-03-08 21:38:19.710571,"Design, Build and Operate First Stage of Tseung Kwan O Desalination Plant",2019-11-15,AJC Joint Venture,9018.9
7/WSD/17,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=61,2026-03-08 21:38:19.710571,"Provision of On-site Chlorine Generation Plants at Au Tau, Tsuen Wan and Yau Kom Tau Water Treatment Works",2018-02-23,Torishima (Hong Kong) Limited,247.72
6/WSD/17,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=62,2026-03-08 21:38:19.710571,"Provision of On-site Chlorine Generation Plants at Sheung Shui, Silver Mine Bay, Siu Ho Wan and Ma On Shan Water Treatment Works",2018-02-23,REC-CEL JV,304.0
5/WSD/17,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=63,2026-03-08 21:38:19.710571,"Provision of On-site Chlorine Generation Plants at Sha Tin, Pak Kong and Tuen Mun Water Treatment Works",2018-02-23,REC-CEL JV,275.8
4/WSD/17,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=64,2026-03-08 21:38:19.710571,Uprating of Tung Chung Fresh Water Supply System - Construction of Tung Chung No.2 Fresh Water Service Reservoir,2018-01-31,Chun Yip - Chung Hing Joint Venture,139.93
3/WSD/17,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=65,2026-03-08 21:38:19.710571,Term Contract for Risk-Based Improvement of Water Mains - Hong Kong & Islands and New Territories West,2017-11-16,Ming Hing Waterworks Engineering Company Limited,406.869
2/WSD/17,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=66,2026-03-08 21:38:19.710571,Term Contract for Risk-Based Improvement of Water Mains - Kowloon and New Territories East,2018-01-31,Wo Hing - Hing Cheong Joint Venture,423.349
13/WSD/16,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=67,2026-03-08 21:38:19.710571,Mainlaying in Tseung Kwan O,2017-11-07,Penta-Ocean – Concentric Joint Venture,540.631
11/WSD/16,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=68,2026-03-08 21:38:19.710571,"Replacement of Pump Motors, Switchboard and Control System at Tsuen Wan Salt Water Pumping Station",2017-05-22,REC Engineering Company Limited,18.88
