"card-image href","logourl src","card-title","card-title 3","info-item 2","info-item 4","info-item 6","info-item 8","info-item 10","info-item 11","info-item 12"
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/489970/lak-to-jewellery-manufacturer","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","Lak To Jewellery Manufacturer","Lak To Jewellery Manufacturer","Hong Kong,S.A.R.,China","AWE","Hall 3","3H17","Coloured Gemstones : Others","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/489475/lal-gems-and-jewelry-co-ltd","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","Lal Gems And Jewelry Co Ltd","Lal Gems And Jewelry Co Ltd","THAILAND","AWE","Hall 6","6T17","Diamonds : Fancy Colour : 1 ct. or above, Coloured Gemstones : Emerald, Coloured Gemstones : Garnet, Jewellery Mfg Services : Coloured Gemstone Jewellery, Diamonds : White : 1 ct. or above,","Diamonds : Fancy Colour : Below 1 ct., Diamonds : White : Below 1 ct., Coloured Gemstones : Ruby, Coloured Gemstones : Sapphire, Coloured Gemstones : Tourmaline","etc..."
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/491176/lam-wai-chun","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","Lam Wai Chun","Lam Wai Chun","Hong Kong,S.A.R.,China","HKCEC","Hall 1A-E","1A233","","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/496948/lamborghini-watches-limited","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","Lamborghini Watches Limited","Lamborghini Watches Limited","Hong Kong,S.A.R.,China","HKCEC","Convention Hall","CHA08","Antique & Vintage : Antique Watches, Coloured Gemstone Jewellery : Jade Jewellery, Antique & Vintage : Antique Jewellery, Coloured Gemstone Jewellery : Fei Cui Jewellery, Diamond Jewellery : White,","Coloured Gemstone Jewellery : Ruby Jewellery, Coloured Gemstone Jewellery : Sapphire Jewellery, Jewellery Watches : Watches w/ Platinum Cases, Jewellery Watches : Diamond Watches, Jewellery Watches : Watches w/ Gold Cases","etc..."
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/489072/lamha-trading","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","Lamha Trading","Lamha Trading","Hong Kong,S.A.R.,China","AWE","Hall 7","7M35","Diamonds : Fancy Colour : 1 ct. or above, Diamonds : White : 1 ct. or above, Diamonds : Fancy Colour : Below 1 ct., Diamonds : White : Below 1 ct.","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/489120/lampert-werktechnik-gmbh","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","Lampert Werktechnik GmbH","Lampert Werktechnik GmbH","GERMANY","HKCEC","Hall 5C-E","5E508","E&S : Welding, Tech. : Tech. for Jewellery Design, E&S : Casting Equipment and Supplies, Tech. : Tech. for Jewellery Mfg","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/488771/land-fortune-industrial-limited","https://jewellerynet.com/admin-api/profile/company/603484/511d33c4.jpeg","Land Fortune Industrial Limited","Land Fortune Industrial Limited","Hong Kong,S.A.R.,China","HKCEC","Hall 5C-E","5E220","Display Materials : Collections & Sets, Packaging Materials : Jewellery/Watch Boxes, Packaging Materials : Cases/Boxes, Packaging Materials : Pouches, Packaging Materials : Ribbons/Bows,","Packaging Materials : Totes & Bags","etc..."
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/495922/lanstar-global-limited","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","Lanstar Global Limited","Lanstar Global Limited","Hong Kong,S.A.R.,China","AWE","Hall 3","3A36","Synthetic Mtrls/Imitation Stones : Imitation Pearls, Synthetic Mtrls/Imitation Stones : Synth. Coloured Gemstones : Synth. Emerald,  Beryls, Synthetic Mtrls/Imitation Stones : Synth. Coloured Gemstones : Synth. Opal, Synthetic Mtrls/Imitation Stones : Synth. Coloured Gemstones : Synth. Quartzes,","Synthetic Mtrls/Imitation Stones : Synth. Coloured Gemstones : Synth. Ruby, Synthetic Mtrls/Imitation Stones : Synth. Coloured Gemstones : Synth. Alexandrite, Synthetic Mtrls/Imitation Stones : Synth. Coloured Gemstones : Synth. Sapph., Synthetic Mtrls/Imitation Stones : Synth. Coloured Gemstones : Synth. Spinel, Synthetic Mtrls/Imitation Stones : Synth. Coloured Gemstones : Other Synth., Synthetic Mtrls/Imitation Stones : Assembled Stones","etc..."
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/502494/lara-gold","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/2022JGW/2026JGW_empty.png","Lara Gold","Lara Gold","TÜRKİYE","HKCEC","Hall 3B-E","3C306","3D Printed Jewellery, Children Jewellery, Seasonal Jewellery, Plain Precious Metal Jewellery : Gold Jewellery : White, Plain Precious Metal Jewellery : Gold Jewellery : Yellow,","Men Jewellery","etc..."
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/490004/larengregor-sa","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","Larengregor SA","Larengregor SA","SWITZERLAND","HKCEC","Convention Hall","CHC05","Antique & Vintage : Vintage Jewellery, Antique & Vintage : Antique Watches, Antique & Vintage : Antique Jewellery, Antique & Vintage : Estate Jewellery","",""
