"item href","cover src","title","desc 2","desc 4","desc 6"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2333&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","深圳市利禾田贸易有限公司","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2334&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Yuyao Jinqiu Technology Co ., Ltd","Supply chain","Primary Packaging Containers,Packaging Components & Accessories","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2336&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/02/444e7842ff46c06deef9c23c5673050a.png","殷昌（苏州）包装有限公司","Supply chain","Primary Packaging Containers","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2337&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/08/10/fe3b9dae8cde4703aedece915d702b02.png","北京宏兴富达科技有限公司","Professional beauty","Professional Beauty Equipment,Medical cosmetology","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2338&menuId=335","https://h5.chinainternationalbeauty.comd72b1537117.png/","Shanghai WELL-SUN Precision Tool Co.,Ltd.","Professional beauty","Nail Products","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2339&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/08/10/12e6fe671880e2d0adcf3a0332ada0d7.png","郑州雅禧化妆品有限公司","Professional beauty","Medical cosmetology","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2340&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/05/11/3848614033e6cd21754beda5d47fe543.jpg","广州迪科美电子科技有限公司","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2341&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","SHUANG LI PACKAGING","Supply chain","Primary Packaging Containers","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2342&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Dongguan Glory Tins Manufactory Co.,Ltd","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2343&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","佛山市南海欧帝家族内衣有限公司","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2344&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/06/d1acaeb1089360f5efa12658ae7aa3cd.jpg","GUANGZHOU YUEZHIFENG COMPUTER NETWORK TECHNOLOGY CO.,LTD","Crossover","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2346&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/26/eaea21a476799fa5604bf4a64f2f617e.png","GUANGZHOU GUANYU  MACHINERY  CO.,LTD","Supply chain","Emulsifying Equipment,Filling Machines,Other production line Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2347&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Guangzhou Mingdun Packing Products Co., Ltd","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2350&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/30/3d8a634d6a0a8e7b3531e0a53b179658.png","GUANGZHOU RUIKD PHOTOELECTRIC TECHNOLOGY CO.,LTD","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2351&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/26/3fc3d3e3b1ab3ae0bd79774bf6f47d3e.png","Yiwu Junwen Machinery Equipment Co.,Ltd","Supply chain","Packaging Machinery,Mechanical Equipment Accessories","No"
