"tablescraper-selected-row","tablescraper-selected-row 2","shenzhen","tablescraper-selected-row 3","shopUrl href","shopUrl src"
"Cangzhou Weikang Food & Pharmaceutical Package Co., Ltd.","9D45","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/cangzhou-weikang-food-pharmaceutical-pac-userId-141530.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Cangzhou Yikang Foods & Pharmaceutical Packaging Co.,Ltd.","9B36","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/cangzhou-yikang-foods-pharmaceutical-pac-userId-142200.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changchun Dacheng Industrial Group International Trade CO.,LTD.","9E62","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/changchun-dacheng-industrial-group-inter-userId-156847.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changchun GeneScience Pharmaceutical Co., Ltd.","9L27","China Mainland","Biotech","https://www.pharmasources.com/company-home/changchun-genescience-pharmaceutical-co--userId-139849.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Yangtze River Delta Physics Research Center Co. Ltd","8G39","China Mainland","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/yangtze-river-delta-physics-research-cen-userId-157402.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changsha Duxact Biotech Co., Ltd.","9H32","China Mainland","AI Tech & Contract Service","https://www.pharmasources.com/company-home/changsha-duxact-biotech-co-ltd-userId-145706.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changsha Comext Biotech Co.,Ltd","7C52","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/changsha-comext-biotech-coltd-userId-156291.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changsha Staherb Natural Ingredients Co., Ltd.","7C35","China Mainland","Beauty & Cosmetics Supply Chain","https://www.pharmasources.com/company-home/changsha-staherb-natural-ingredients-co--userId-146730.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Changzhou Pure Pharmaceutical Packaging Materials Co., Ltd.","9A33","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/changzhou-pure-pharmaceutical-packaging--userId-157431.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Genchem & Genpharm (Changzhou) Co.,Ltd.","9D82","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/genchem-genpharm-changzhou-coltd-userId-146480.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
