Company Name,Location,Booth,url
"Dongguan HDKing Smart Technology Co., Ltd.",Chinese Mainland,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0066ESA?fairCode=hkelectronicsfairae&locale=en
"Guangdong Qishun Silk Imp & Exp Co., Ltd.",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S00683UF?fairCode=hkelectronicsfairae&locale=en
"Guangzhou Yuema Electric Appliance Co., Ltd.",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S0064TAD?fairCode=hkelectronicsfairae&locale=en
"Guangdong Ldnio Electronic Technology Co., Ltd.",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S0064O40?fairCode=hkelectronicsfairae&locale=en
"Guangzhou Havit Technology Co., Ltd.",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S0064MHZ?fairCode=hkelectronicsfairae&locale=en
"HEIFENG ZHIZAO (ZHONGSHAN) TECHNOLOGY CO., LTD.",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S0067I7X?fairCode=hkelectronicsfairae&locale=en
"Heyuan Good Faith Industrial Co., Ltd",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S0064MKQ?fairCode=hkelectronicsfairae&locale=en
"Huizhou Ouli Technology Co.,Ltd.",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S0064LBI?fairCode=hkelectronicsfairae&locale=en
"Shenzhen Antop Technology Co., Ltd.",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S0064T21?fairCode=hkelectronicsfairae&locale=en
"Shenzhen Chuangwei Electronic Appliance Tech Co., Ltd.",Chinese Mainland,['Booth: 3CON-018G   |   Group Pavilion   |   Chinese Mainland (Shunde)'],/event/hkelectronicsfairae/en/exhibitor/1S00639RI?fairCode=hkelectronicsfairae&locale=en
