,Company Name,Location,Booth,url
108,"Quanzhou Huitai Photoelectric Technology Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005KXQX
109,"Recesky Industry (Dongguan) Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K2ES
110,"Shenzhen Auztek Technology Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JWRV
111,"Shenzhen Bond Optoelectronic Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K1KB
112,Shenzhen Enrich Lighting Co Ltd,Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JWO4
113,"Shenzhen Glocusent Technology Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K1A5
114,Shenzhen Greenbar Smart Electronics Co Ltd,Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K2A4
115,"Shenzhen J&B Lighting Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K9U9
116,Think-Max Lighting Co Limited,Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005KDZQ
117,"Universelite Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005KDRE
118,"Xiangxing Lighting Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JWTP
119,"ZHONGSHAN OLOPO LIGHTING CO.,LTD",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JWVJ
120,"Zhejiang Fonda Technology Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K9QL
121,"Zhongshan Bestwon Lighting Co., LTD",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K12T
122,Zhongshan Co-Tech Industries Ltd,Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K14N
123,"Zhongshan Erdu Lighting Technology Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K9RI
124,"Zhongshan Keyun Electronics Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005KXRU
125,Zhongshan LOHAS LED Lighting Factory,Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JZSP
126,Zhongshan Sunde Lighting Company Limited,Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K2FP
127,"Hairui Lighting Co., Limited",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005IWMA
128,Huapai Lighting Limited,Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005ICMU
129,"Jiangjing Lighting (HK) Co., Ltd.",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005IYTN
130,Kok Technology (hong Kong) Company Limited,Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005ICOO
131,"Ledman Hong Kong Co., Limited",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005IWIM
132,"Stronglumen Opto Co., Limited",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005IWJJ
133,"Sunsy Group Co., Limited",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005IWLD
134,Giant Kingdom International Limited,Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JJR8
135,"HongKong Dichen Power Technology Co., Ltd.",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005ITSV
136,"Imked Lighting HK Co., Ltd.",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005ITTS
137,"Ming Wei Lighting Co., Limited",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JQHV
138,Odm Master Limited,Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005IYUK
139,XHLUX Lighting Limited,Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005ICPL
140,"Zhongshan Bingao Lighting Co., Limited",Hong Kong,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005IWKG
141,"Dongguan Damei Intelligent Technology Co., LTD",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K10Z
142,"Dongguan Pan American Electronics Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005LQMG
143,"Fuzhou Zhongao Tech Group Co., Ltd",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005KDPK
144,"Ganzhou Zhongheng Optoelectronics Technology Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005L6X3
145,"Guangdong Zowei Optoelectronic Technology Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K6PR
146,Jiaxing Xinshida Intelligent Technology Co Ltd,Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JZIJ
