Company Name,Location,Booth,url
Samjin Corporation,"Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065GLT?fairCode=foodexpopro&locale=en
Sempio Foods Company,"Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065GEE?fairCode=foodexpopro&locale=en
"Shangri-La Winery Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S006632R?fairCode=foodexpopro&locale=en
"Shangri-la Highland Craft Brewery Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S006631U?fairCode=foodexpopro&locale=en
ShinSung Biopharm Inc.,"Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065EDJ?fairCode=foodexpopro&locale=en
"Sigolkim Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065H1G?fairCode=foodexpopro&locale=en
Skinny Meal,Brunei Darussalam,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065G48?fairCode=foodexpopro&locale=en
Star Herb Pharma Co Ltd,Thailand,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066GOK?fairCode=foodexpopro&locale=en
Taurean Bakeshop Shop & Cafe,Brunei Darussalam,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S00656ZX?fairCode=foodexpopro&locale=en
True Delicious Corporation,"Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065GBN?fairCode=foodexpopro&locale=en
"Unione Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065GQE?fairCode=foodexpopro&locale=en
"WandoAbalone Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065H2D?fairCode=foodexpopro&locale=en
"Wannavee Co., Ltd.",Thailand,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065F63?fairCode=foodexpopro&locale=en
"Winfood Co., Ltd","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065G8W?fairCode=foodexpopro&locale=en
Wooyoungfood,"Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065HCJ?fairCode=foodexpopro&locale=en
"Yeolmaenamu Agricultural Corporation Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065J52?fairCode=foodexpopro&locale=en
"Yesodam Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065GU2?fairCode=foodexpopro&locale=en
"Yunnan Chengtong Agricultural Development Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066GRB?fairCode=foodexpopro&locale=en
"Yunnan Four Cat Industrial Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065IJX?fairCode=foodexpopro&locale=en
"Yunnan Ginger Care Co., Ltd.",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065II0?fairCode=foodexpopro&locale=en
