url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Contact Person,Office Address,Country/Region,Brands,Position
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SUNWIN-WORLDWIDE-COMPANY-LIMITED/1S00OACRF,,Hong Kong,,Clothing/ Garments,,,,Donna Wong,"10B, 10th FLOOR, CHINA UNITED PLAZE,1008 TAI NAN WEST STREET, CHEUNG SHA WAN,KOWLOON, HONG KONG",Hong Kong,,Director
https://sourcing.hktdc.com/en/Supplier-Store/Profile/The-Hong-Kong-Research-Institute-of-Textiles-and-Apparel-Limited/1S00O2778,Others,Hong Kong,2006.0,"Apparel & Textile Machines, Clothing/ Garments, Shoes & Accessories, Textiles, Fabrics & Yarns",Worldwide,101 - 200 Sustainability Recycled Materials Green Materials & Process Textile recyling Environmental Treatment Green Textiles Sputtering System About HKRITA Green Machine Green Textile Geneva Inventions R&D 100 ITMF,,Miss Jenny Lam,"R906, Shirley Chan Building, The Hong Kong Polytechnic University, Kln, Hong Kong",Hong Kong,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/WENLO-S-APPAREL-MFR-LTD/1X00MPMB,"Exporter, Manufacturer",Hong Kong,1984.0,"Clothing/ Garments, Fashion, Eyewear & Accessories","Africa, Australasia, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Middle East, Western Europe",501 - 1000,"US$ 1,000,000 - 4,999,999 BSCI ISO","Mr Siu Kin, Evens Lo","1001-2, 10/F, Hewlett Centre, 54 Hoi Yuen Rd, Kwun Tong, Kowloon, Hong Kong.",Hong Kong,,Managing Director
https://sourcing.hktdc.com/en/Supplier-Store/Profile/YICK-SHUN-INDUSTRIAL-COMPANY-LIMITED/1S00OW66C,Manufacturer,Hong Kong,1988.0,"Bags, Handbags & Accessories, Fashion Accessories, Gifts / Souvenirs, Shoes & Accessories, Wedding Gifts & Accessories","Hong Kong, Worldwide",16 - 25,"US$ 250,000 - 499,999 Certificate Name Issued By Certificate Type Valid Date GRS Control Union Certifications B.V. Others 27 Apr 2025 - 30 May 2026 Cosmetic Pouch Yick Shun Industrial Company Limited",Miss Zuki Ng,"30/F , Enterprise Square Two, 3 Sheung Yuet Rd, Kowloon Bay,",Hong Kong,,Sales & Development Manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/GuangZhou-Easy-Wear-Clothing-Ltd/1S00OZ990,,Chinese Mainland,,Clothing/ Garments,,,,guoyuan qiu,"Room 502 of Jincheng Building, No.8 Hecun north Road, Dashi S, Guangzhou Guangdong, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Heran-Clothing-Co-LTD/1S00P06RL,,Chinese Mainland,,Clothing/ Garments,,,,bing chang,"KS International, 3rd Floor, Building 1, Jiefeng G Dongxi Avenue, Linping District, Hangzhou, Zhejiang, China",Chinese Mainland,,manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Tailory-Garments-Co-Ltd-/1X05QDQ7,"Exporter, Importer, Manufacturer","Hangzhou, Zhejiang, Chinese Mainland",2002.0,"Clothing/ Garments, Fashion, Eyewear & Accessories","Eastern Europe, North America",201 - 500,"US$ 5,000,000 - 9,999,999 ODM OEM",Ms Diane Xiao,"No. 31-6, Jiuhuan Road, Jianggan District, 310009,Hangzhou, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nantong-Forcheng-Enterprise-Ltd/1X00HWHV,"Exporter, Manufacturer","Nantong, Jiangsu, Chinese Mainland",2006.0,Clothing/ Garments,"Australasia, Eastern Europe, Hong Kong, Japan, North America, Scandinavia, Southeast Asia, Western Europe",1001 - 2000,"US$ 10,000,000 - 49,999,999 ODM OEM View details Factory & Facility",Mr Forrest Fan,"Room A 1503, Guidu Plaza, No.93, Changjiang Road (M), Haian, Nantong, Jiangsu Province, Jiangsu",Chinese Mainland,,General Manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SHINY-FASHION-GARMENT-CO-LTD-/1S00OTDLW,"Exporter, Manufacturer","Shantou, Guangdong, Chinese Mainland",2005.0,Clothing/ Garments,"Australasia, North America, Western Europe",6 - 10,"US$ 100,000 - 249,999 Good quality in good price Handmade products Emboridery",Ms Chen Lin,"7/F., Kin Hwa Cheong Building, HengShan Road Shantou, Guangdong, China",Chinese Mainland,,Manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/HOPEWAY-GARMENTS-YIWU-CO-LTD/1S00OO8ZV,"Distributor, Manufacturer","Jinhua, Zhejiang, Chinese Mainland",2017.0,Clothing/ Garments,"Australasia, Central & South America, Eastern Europe, Middle East, North America, Western Europe",51 - 100,"US$ 1,000,000 - 4,999,999",Ms Eva Chen,"#666 RUIYUN ROAD, DACHEN TOWN, YIWU CITY, ZHEJIANG",Chinese Mainland,"Vantron,Jacometti manufacturing OEM ODM supply chain View details Factory & Facility Research & Development Quality Control",General Manager
