url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Brands,Contact Person,Position,Office Address,Country / Region,Annual Turnover
https://sourcing.hktdc.com/en/Supplier-Store/Profile/PRESENT-WATCH-JEWELRY-COMPANY-LIMITED/1S00OC9X0?fairCode=te&locale=en,,Hong Kong,,"Fine Jewellery, Watches & Clocks",,,,Ms Noelle Chow,,,Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sun-Flame-Co-Ltd/1X0F0DW1?fairCode=te&locale=en,"Distributor, Exporter, Manufacturer","Tokyo, Japan",1984.0,"Design Services, Quality Inspection, Compliance & Testing Service, Watches & Clocks",Japan,101 - 200,"SUN FLAME and Grand Jour OEM ODM Package Design Workshop in TOKYO, JAPAN View details Factories & Facilities Research & Development Quality Control workshop-1 10BAR Checking Tool 10BAR Checking -2 Case Back placing machine",Mr Hijiri Orihara,Manager,"1-6-15, Motoasakusa _ Taito-Ku Tokyo 111-041, Japan",Japan,"US$ 10,000,000 - 49,999,999"
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Tianyuan-Watch-Co-Ltd-/1S00P5JVW?fairCode=te&locale=en,,Chinese Mainland,,,,,,Guihui kuang,manager,"74, Gushu 1st Road, Gushu Community, Xixiang Sub-d",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Berlink-Timepiece-HK-Limited/1X0A3UZJ?fairCode=te&locale=en,Manufacturer,Hong Kong,2013.0,Watches & Clocks,Worldwide,26 - 50,,Mr Jun Hong Hu,Director,"FLAT 7-9, 6/F LUCIDA IND BLDG, 43-47 WANG LUNG ST, TSUEN WAN NT",Hong Kong,"US$ 5,000,000 - 9,999,999 ODM OEM"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Grand-Bentley-International-Co-Limitied/1S00OQGS8?fairCode=te&locale=en,"Export Agent, Exporter, Manufacturer, Wholesaler",Hong Kong,2024.0,Watches & Clocks,Worldwide,6 - 10,BENTLEY,Mr Ryan Wang,CEO,"Room 08 ,16/F Apec Plaza , 49 Hoi Yuen Road Kwun Tong Hong Kong",Hong Kong,"US$ 1,000,000 - 4,999,999"
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Juchuang-Watch-Co-Ltd-/1S00OJ5QP?fairCode=te&locale=en,,Chinese Mainland,,,,,,Dr Li Mr,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Saishi-Watch-Co-Ltd-/1S00PC6FL?fairCode=te&locale=en,,Chinese Mainland,,,,,,Mr QINGYUN GUO,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Acestar-Concept-Ltd/1X06OK1B?fairCode=te&locale=en,"Distributor, Export Agent, Exporter, Import Agent, Importer, Manufacturer, Retailer, Wholesaler",Hong Kong,2010.0,Watches & Clocks,"Chinese Mainland, Hong Kong, Japan, Middle East, Other Asian Countries, Taiwan",,"Van Gogh, MINI, Toino Lamborghini",Ms Sandy Chan,,"1405-07, Tower B, Chung Mei Centre, 15 Hing Yip Street, Kwun Tong, Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mitico-Technology-Limited/1X0B6JGZ?fairCode=te&locale=en,,Hong Kong,,,,,,Eddie Lo,,"2/F, Sung Kee Ind Bldg, 18-30 Kwai Ting Rd, Kwai Chung, New Territories, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SEIKO-Hong-Kong-Ltd-/1S00PE37C?fairCode=te&locale=en,,Hong Kong,,Watches & Clocks,,,,Amily Wong,Manager,"8th Floor, Ying Tung Industrial Building, 802 Lai Chi Kok Road, Kowloon, Hong Kong.",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sang-Tat-Industrial-Limited/1X0A4XVE?fairCode=te&locale=en,,Hong Kong,,"Jewellery & Watch, Watches & Clocks",,,,Hei Lap Lau,General Manager,"Workshop B, 4/F, Hop Hing Ind'l Bldg, 704 Castle Peak Rd, Lai Chi Kok, Kln, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Aoli-Watch-Co-Ltd-/1S00PD5DS?fairCode=te&locale=en,,Chinese Mainland,,,,,,Mr Ryan Wang,,,Chinese Mainland,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
