"logobox href","logobox src","company","text-break","p1","label 3","separate","linka","linka href","tag"
"https://online.sialchina.cn/en/exhibitorlist/14607","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","CHENGDU HENGYU FOOD CO., LTD","W1G074","CHINA","Brand Name:","HENGYU","1484","https://visitor.sialchina.com/matching?company=CHENGDU%20HENGYU%20FOOD%20CO.%2C%20LTD",""
"https://online.sialchina.cn/en/exhibitorlist/14758","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","SJN (Shanghai) Food Co., Ltd","N2D124","CHINA","Brand Name:","Do Master","1452","https://visitor.sialchina.com/matching?company=SJN%20(Shanghai)%20Food%20Co.%2C%20Ltd",""
"https://online.sialchina.cn/en/exhibitorlist/14239","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Henan Huazhong Food Co., Ltd.","E2E050","CHINA","Brand Name:","BENBENGO","1452","https://visitor.sialchina.com/matching?company=Henan%20Huazhong%20Food%20Co.%2C%20Ltd.","Ready to export"
"https://online.sialchina.cn/en/exhibitorlist/14508","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","OMAI","N1D042","CHINA","","","1451","https://visitor.sialchina.com/matching?company=OMAI",""
"https://online.sialchina.cn/en/exhibitorlist/14562","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","FUJIAN ZISHAN GROUP CO., LTD","N2C050","CHINA","Brand Name:","dao fan dian","1443","https://visitor.sialchina.com/matching?company=FUJIAN%20ZISHAN%20GROUP%20CO.%2C%20LTD","Ready to export"
"https://online.sialchina.cn/en/exhibitorlist/15433","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Shandong Chenlang Food Co., Ltd.","W5E070","CHINA","","","1440","https://visitor.sialchina.com/matching?company=Shandong%20Chenlang%20Food%20Co.%2C%20Ltd.",""
"https://online.sialchina.cn/en/exhibitorlist/15137","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","IBC  FOODS  TRADING  CO., LTD","N4E090","HONG KONG SAR, CHINA","Brand Name:","IBC  FOODS  TRADING  CO., LTD","1394","https://visitor.sialchina.com/matching?company=IBC%20%20FOODS%20%20TRADING%20%20CO.%2C%20LTD",""
"https://online.sialchina.cn/en/exhibitorlist/15055","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Shantou Mandun Plastic Co.,Ltd.","E7B39","CHINA","Brand Name:","MANDUN PLASTIC","1387","https://visitor.sialchina.com/matching?company=Shantou%20Mandun%20Plastic%20Co.%2CLtd.","Ready to export"
"https://online.sialchina.cn/en/exhibitorlist/14361","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Sweet N Fun Limited","W4B013","HONG KONG SAR, CHINA","Brand Name:","TETRIS","1377","https://visitor.sialchina.com/matching?company=Sweet%20N%20Fun%20Limited",""
"https://online.sialchina.cn/en/exhibitorlist/14902","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","KUNNA GROCERIES CO., LTD","E1A008","THAILAND","Brand Name:","KUNNA","1350","https://visitor.sialchina.com/matching?company=KUNNA%20GROCERIES%20CO.%2C%20LTD","Ready to export"
