url,Nature of Business,Location,Year of Establishment,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Yiwu-Kebiao-Pen-making-Co-Ltd-/1X08JPDK,"Exporter, Manufacturer","Jinhua, Zhejiang, Chinese Mainland",,"Gifts, Toys & Sports Supplies, Printing & Packaging, Stationery & Office Equipment, Stationery",Mr Xiaojie Liao,-,"No. 757, Chengdian South Road, Yiwu Economic Zone, Zhejiang, China Jinhua",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zibo-Topfine-Trade-Co-Ltd-/1X09YOS8,,Chinese Mainland,,"Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials",Guangming Xu,General Manager,"No.122 Communist Youth League Road, Zhangdian, Zibo, Shandong, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Acest-Trading-Co-Ltd-/1X09YWDZ,,Taiwan,,"Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Religious Items & Crafts",Sophia Lin,,臺灣臺北市八德路4段321號2樓 10565,Taiwan,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Anhui-Fit-I-E-Limited/1S00P0JPE,,Chinese Mainland,,,Qiao Nan Chen,,"Room 201 Building 2, Yichuang Industrial Park, Xinjie Town, Tianchang City, Anhui, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Array-Industrial-Limited/1S00OOBYV,,Chinese Mainland,,,Dragon Tan,,"Room 506, No.105 Hongtu Road, Nancheng District, Dongguan, Guangdong, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/BEIJING-SONGS-FUR-CO-LTD-/1S00OTSE2,,Chinese Mainland,,"Arts & Crafts, Dolls, Plush & Stuffed Toys View details Factory & Facility",Ms JING WEI,,,Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bestrends-Corporation/1S00OOC59,,Taiwan,,"Bags, Handbags & Accessories, Gifts / Souvenirs",Lisa Chen,Manager,"10F., No.9-2, Aly. 97, Ln.110, Huqian St, Xizhi Dist, New Taipei City, Taiwan",Taiwan,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/C-F-Gifts-Industrial-Ltd-/1S00OY7J8,,Chinese Mainland,,"Bags, Handbags & Accessories, Consumer Electronics, Costume & Fashion Jewellery, Gifts, Toys & Sports Supplies, Homeware & Lifestyle Essentials, Jewellery & Watch, Sports Supplies, Telecommunication",Gino Zeng,Director,"Jin Xing Road, Nan'an Town, Gaoyao, Zhaoqing City, Guangdong Province 526100, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/CJ-Dropshipping/1S00OYTFY,,Chinese Mainland,,,Ms xing jin,,,Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chengdu-Alice-Trading-Co-Ltd-/1S00P0FKX,,Chinese Mainland,,,Ms Huanming Xie,,,Chinese Mainland,,,,
