Company Name,Location,Booth,url
"Samjin Co., Ltd.","Korea, Republic Of","[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005K8DP
"Shanghai Cobest Industry Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005IAJ5
Shenzhen Shiguangxiu Technology Co Ltd,Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005I50V
"TSwin Co., Ltd","Korea, Republic Of","[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005K8FJ
"Wenzhou Xintai New Materials Stock.Co.,Ltd",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005MGEE
"Wuxi Winsen Import & Export Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005IBFG
"Zhejiang Saizhan Houseware Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005EQ5V
Zhejiang Shihao Gift Packaging Co Ltd,Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005I5EP
"Hang Wing Industry Co., Limited",Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005EDSB
Hong Kong Smart Design Awards,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005L7PQ
"Jcraft Arts & Crafts Co., Limited",Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005F56D
Jingle Metal Products Company Limited,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005FS3Z
"Metswin Group (HK) Co., Limited",Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005IPJQ
"Taizhou Huangyan District Trading Group Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005KUXF
