Company Name,Location,Booth,url
Sell 2 World Company Limited,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S0064A82?fairCode=homedelights&locale=en
Shiok Shop,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S0064XWF?fairCode=homedelights&locale=en
Sunlike Fabric Company,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S0064XXC?fairCode=homedelights&locale=en
Sunrise Trading Co,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S00650PX?fairCode=homedelights&locale=en
Suntronics Investment Limited,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S00649U9?fairCode=homedelights&locale=en
Tinkyo Design Company Limited,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S0064A3H?fairCode=homedelights&locale=en
Total Nutrition Center Ltd,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S00650SO?fairCode=homedelights&locale=en
Trendy Trading (HK) Limited,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S00649YX?fairCode=homedelights&locale=en
"White Pan and Wok Co., Limited",Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S00653QR?fairCode=homedelights&locale=en
Wing Yip International Limited,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S0064A0Q?fairCode=homedelights&locale=en
iRecycle Charity Foundation Limited,Hong Kong,['Booth: 3F-E09   |   Avenue of Delights   |   '],/event/homedelights/en/exhibitor/1S0065CJ3?fairCode=homedelights&locale=en
