exhibitor_id,application_id,company_name,brand_name,products,booth,detail_url,source_page,source_position
31B9AD604CF001B5D0D4A5F937CCE38F,250168,Eason Wang,量子纖維,,TWTC Exhibition Hall 1 Domestic Inventions Area B0429,https://www.inventaipei.com.tw/en/exhibitor/31B9AD604CF001B5CCAC94798910CE69BFB422A6A801970E/info.html?lt=data&vt=company-name&cr=39,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,39
C43F142A56E1E922AFBF371849025705,250038,"Exploration & Development Research Institute, CPC Corporation, Taiwan (TW)",,,TWTC Exhibition Hall 1 Domestic Inventions Area B0216,https://www.inventaipei.com.tw/en/exhibitor/C43F142A56E1E922F07339328670CBA22605680E9E44D119/info.html?lt=data&vt=company-name&cr=40,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,40
F8F20C1679B7F6E1B369C5981B821ABF,250165,"FLAMMA LIGHTENERGY Co., Ltd.",,,TWTC Exhibition Hall 1 Domestic Inventions Area B0437,https://www.inventaipei.com.tw/en/exhibitor/F8F20C1679B7F6E1CE504E2C692508852605680E9E44D119/info.html?lt=data&vt=company-name&cr=41,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,41
869004401A5B732920A33D7435813E7B,250171,"FORTUNE ELECTRIC CO.,LTD.",華城電機/FORTUNE ELECTRIC,,TWTC Exhibition Hall 1 Domestic Inventions Area B0338,https://www.inventaipei.com.tw/en/exhibitor/869004401A5B73291FD29812DAB40E742605680E9E44D119/info.html?lt=data&vt=company-name&cr=42,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,42
6DB6D97CE61206FE3504D8642FDC906E,175374,FUTURE TECH,,.,TWTC Exhibition Hall 1 Future Tech A0109a,https://www.inventaipei.com.tw/en/exhibitor/6DB6D97CE61206FE4F29F4EAF435084AD0636733C6861689/info.html?lt=data&vt=company-name&cr=43,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,43
01C20E897E9985D27266CBBC5849A9E2,250162,Far Eastern Memorial Hospital,可踢肽®/CatiPep®,,TWTC Exhibition Hall 1 Domestic Inventions Area B0229,https://www.inventaipei.com.tw/en/exhibitor/01C20E897E9985D25DF821CFF46FF11F2605680E9E44D119/info.html?lt=data&vt=company-name&cr=44,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,44
7AA044638B5D230A7A9493E732C739B1,250082,Feng Chia University,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B1025a,https://www.inventaipei.com.tw/en/exhibitor/7AA044638B5D230A0609909D2754FE1D2605680E9E44D119/info.html?lt=data&vt=company-name&cr=45,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,45
60720283CCE3CF3CB3889E906789762A,250147,Food Industry Research and Development Institute,,,TWTC Exhibition Hall 1 Domestic Inventions Area B0423,https://www.inventaipei.com.tw/en/exhibitor/60720283CCE3CF3C058DA3B14E56F8FE2605680E9E44D119/info.html?lt=data&vt=company-name&cr=46,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,46
860A8A0028F11B24B0185562A2376A79,250048,"Forest Pure Products Marketing Co., Ltd",,,TWTC Exhibition Hall 1 Domestic Inventions Area B0217a,https://www.inventaipei.com.tw/en/exhibitor/860A8A0028F11B24CC2A7EE08E84A5722605680E9E44D119/info.html?lt=data&vt=company-name&cr=47,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,47
83C7FADE373C8AADA3FE0ABA7B072B97,250051,"GARUDA TECHNOLOGY CO., LTD.",臻鼎科技集團,,TWTC Exhibition Hall 1 Domestic Inventions Area B0213a,https://www.inventaipei.com.tw/en/exhibitor/83C7FADE373C8AAD8A8B06C0E16196EA2605680E9E44D119/info.html?lt=data&vt=company-name&cr=48,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=2,48
