id,exhibitor_name,country,booth_numbers,exhibitor_urn,supplier_urn,virtual_booth_url,contact_url,source_position,source_url
fc772e192cb84adb8d5a8f76b7b4a096,"Dongguan Jiuzhengyuan Technology Co., Ltd.",Chinese Mainland,"""1C-F19""",1S0064IKU,1S00P5IU0,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064IKU/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,38,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
e15208fc8c884bea87cb93e33f831b59,"GuangZhou Beecaro Technology CO., Limited",Chinese Mainland,"""1D-B18""",1S0064JJW,1S00O98FJ,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064JJW/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,39,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
311d5a56011f4ff5b9e3fea7d90eb9c6,"Guangzhou Dongda Electronic Technology Co., Ltd.",Chinese Mainland,"""1D-D24""",1S00638MY,1X08FQ0U,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00638MY/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,40,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
3d10fb8e261e4c0a95e0afd8916d3ad2,Hanwei Electronics Group Corporation,Chinese Mainland,"""1B-A03""",1S00638K4,1X0A6UD5,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00638K4/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,41,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
edb96fd8da4b42d6b60d540507497b38,"Ninghai Yingjiao Electrical Co., Ltd.",Chinese Mainland,"""1A-E05""",1S0064HKV,1X04TFDE,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064HKV/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,42,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
22d1bdb2f5f44c068dc729c4f5e3cb2f,"Shenzhen PKCELL Battery Co., Ltd.",Chinese Mainland,"""1A-A03""",1S0064S3Z,1X03SCHJ,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064S3Z/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,43,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
ab9a0991136b443d8a164e14e298f3cf,"Shenzhen Glory Industries Co., Ltd.",Chinese Mainland,"""1A-D15""",1S00637HE,1X0067XI,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00637HE/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,44,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
6cd47faa18ab4cc2ae4d76b0ec646ad9,"Suzhou Dibea Electrical Technology Co., Ltd.",Chinese Mainland,"""1A-F06""",1S0064GQE,1X0AIEXX,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064GQE/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,45,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
e3a375e7c1cf471a86bfd6d68a981222,"Zhongshan Hung Yuk Plastic Technology Co., Ltd",Chinese Mainland,"""1A-E26""",1S0064PBE,1S00O86M0,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064PBE/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,46,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
e0feb32ac0614faab03b1d1b1a403227,Evervictory Electronic Company Limited,Chinese Mainland,"""3D-E24""",1S0064R23,1S00OYZPY,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064R23/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,47,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
63c8bccd65b8480898b7bcf7f8ad4138,"Concept Audio Co., Ltd.",Chinese Mainland,"""1E-A05""",1S006370T,1S00OTR9I,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006370T/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,48,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
4a28470507fa428cb119b244ca752b8e,"Digilife Technologies Co., Ltd.",Taiwan,"""1B-F15""",1S0065WFV,1X04RH5G,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0065WFV/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,49,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
0ecc79f157994b448e333067faf487c7,"Dongguan City Gaoland Technology Co., Ltd.",Chinese Mainland,"""3F-H16""",1S0067MDB,1X07YJHY,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0067MDB/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,50,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
27e827a3f7334dc48f2f7d85539b80c0,Fuzhou Sunny Electronic Co Ltd,Chinese Mainland,"""3F-D16""",1S0067LOF,1X05IACU,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0067LOF/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,51,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=2&pageSize=50
